framework,run,rps,p50_ms,p95_ms,p99_ms,err_pct,achieved_rps,cpu_avg_cores,cpu_max_cores,mem_avg_mib,mem_max_mib,pod,k6_exit
quarkus-native,1,1000,0.27,0.38,0.73,0.00,1000.0,0.1163,0.1217,26.7080,27.7109,quarkus-perf-native-7d7d4b66c9-dvf9r,0
quarkus-native,2,1000,0.27,0.38,0.74,0.00,1000.0,0.1172,0.1225,27.5716,32.7500,quarkus-perf-native-7d7d4b66c9-lfh4b,0
quarkus-native,3,1000,0.27,0.39,0.73,0.00,1000.0,0.1166,0.1202,28.0309,36.6758,quarkus-perf-native-7d7d4b66c9-f7tct,0
quarkus-reactive-jvm,1,1000,0.43,0.53,0.65,0.00,1000.0,0.0727,0.1786,170.3717,171.3203,quarkus-reactive-perf-jvm-6d798f48b7-5dzpl,0
quarkus-reactive-jvm,2,1000,0.42,0.53,0.64,0.00,1000.0,0.0700,0.1003,164.6890,165.7930,quarkus-reactive-perf-jvm-6d798f48b7-kmrtz,0
quarkus-reactive-jvm,3,1000,0.43,0.53,0.65,0.00,1000.0,0.0730,0.1617,168.7436,169.5039,quarkus-reactive-perf-jvm-6d798f48b7-ps95j,0
quarkus-reactive-native,1,1000,0.49,0.64,1.03,0.00,1000.0,0.1444,0.1463,22.5941,23.1406,quarkus-reactive-perf-native-856b76f5d7-zrzpj,0
quarkus-reactive-native,2,1000,0.50,0.65,1.04,0.00,1000.0,0.1409,0.1471,22.4456,23.3398,quarkus-reactive-perf-native-856b76f5d7-g5clz,0
quarkus-reactive-native,3,1000,0.50,0.64,1.05,0.00,1000.0,0.1430,0.1482,22.6182,23.1914,quarkus-reactive-perf-native-856b76f5d7-pbvk9,0
spring,1,1000,0.31,0.39,0.45,0.00,1000.0,0.1488,0.6484,323.1882,324.7305,spring-perf-6957cd5b4d-tq85p,0
spring,2,1000,0.31,0.39,0.44,0.00,1000.0,0.1386,0.5051,334.3623,335.7578,spring-perf-6957cd5b4d-2khq6,0
spring,3,1000,0.31,0.38,0.44,0.00,1000.0,0.1518,0.6167,343.7786,346.9062,spring-perf-6957cd5b4d-xlbzm,0
spring-reactor,1,1000,0.28,0.37,0.45,0.00,1000.0,0.1362,0.4711,306.5859,311.2031,spring-reactor-perf-7697f96cbc-xpj8b,0
spring-reactor,2,1000,0.28,0.37,0.44,0.00,1000.0,0.1362,0.4225,322.0689,325.9453,spring-reactor-perf-7697f96cbc-rtndp,0
spring-reactor,3,1000,0.27,0.36,0.43,0.00,1000.0,0.1211,0.4214,323.4590,324.4297,spring-reactor-perf-7697f96cbc-pc6kd,0
actix,1,2000,0.44,0.53,0.59,0.00,2000.0,0.0897,0.0932,15.7019,16.7305,actix-perf-798cc85858-xfqjr,0
actix,2,2000,0.44,0.53,0.59,0.00,2000.0,0.0894,0.0925,15.5280,16.5703,actix-perf-798cc85858-ssbm8,0
actix,3,2000,0.44,0.53,0.59,0.00,2000.0,0.0895,0.0917,14.0352,14.7969,actix-perf-798cc85858-lwn7n,0
ktor,1,2000,0.29,19.80,395.39,0.00,2000.0,0.2796,0.4276,394.9681,404.0859,ktor-perf-799b7767dd-vclhz,0
ktor,2,2000,0.29,156.38,1188.09,0.00,2000.0,0.2823,0.4218,395.5765,404.9102,ktor-perf-799b7767dd-m8kz6,0
ktor,3,2000,0.30,1189.25,1908.10,0.00,2000.0,0.2740,0.4560,411.2440,414.9531,ktor-perf-799b7767dd-88nqp,0
quarkus-jvm,1,2000,0.23,0.30,0.35,0.00,2000.0,0.1272,0.2247,296.6748,306.9766,quarkus-perf-jvm-84dbb885f-xlghn,0
quarkus-jvm,2,2000,0.23,0.30,0.35,0.00,2000.0,0.1260,0.3097,294.3541,304.9883,quarkus-perf-jvm-84dbb885f-5dfrq,0
quarkus-jvm,3,2000,0.23,0.30,0.36,0.00,2000.0,0.1218,0.1283,290.1204,290.9766,quarkus-perf-jvm-84dbb885f-cjzp8,0
quarkus-native,1,2000,0.29,0.39,0.86,0.00,2000.0,0.2280,0.2342,37.2917,45.1602,quarkus-perf-native-7d7d4b66c9-kcdbp,0
quarkus-native,2,2000,0.29,0.39,0.86,0.00,2000.0,0.2270,0.2337,39.0072,48.0664,quarkus-perf-native-7d7d4b66c9-82pk7,0
quarkus-native,3,2000,0.29,0.38,0.85,0.00,2000.0,0.2255,0.2308,38.5657,48.0898,quarkus-perf-native-7d7d4b66c9-xq94l,0
quarkus-reactive-jvm,1,2000,0.43,0.54,0.70,0.00,2000.0,0.1270,0.2642,171.3161,172.6992,quarkus-reactive-perf-jvm-6d798f48b7-p7778,0
quarkus-reactive-jvm,2,2000,0.43,0.53,0.69,0.00,2000.0,0.1256,0.2468,172.9450,173.7148,quarkus-reactive-perf-jvm-6d798f48b7-7wt88,0
quarkus-reactive-jvm,3,2000,0.43,0.54,0.71,0.00,2000.0,0.1239,0.1297,173.6488,174.3867,quarkus-reactive-perf-jvm-6d798f48b7-ksmwx,0
quarkus-reactive-native,1,2000,0.48,0.66,1.22,0.00,2000.0,0.2680,0.2771,23.9323,24.8555,quarkus-reactive-perf-native-856b76f5d7-wfjsj,0
quarkus-reactive-native,2,2000,0.47,0.66,1.23,0.00,2000.0,0.2672,0.2718,23.6413,24.2031,quarkus-reactive-perf-native-856b76f5d7-qxrqr,0
quarkus-reactive-native,3,2000,0.48,0.66,1.32,0.00,2000.0,0.2641,0.2696,24.0829,25.1328,quarkus-reactive-perf-native-856b76f5d7-hg4fp,0
spring,1,2000,0.06,12072.29,13273.72,80.38,1491.6,0.4428,0.6339,282.9531,502.7422,spring-perf-6957cd5b4d-77xx5,99
spring,2,2000,0.10,12264.08,13652.97,69.81,1340.4,0.3393,0.3393,317.5677,506.1445,spring-perf-6957cd5b4d-htr5r,99
spring,3,2000,0.11,12877.14,14459.15,71.21,1323.0,0.3933,0.5386,268.3646,500.1914,spring-perf-6957cd5b4d-ts4t4,99
spring-reactor,1,2000,0.07,10864.98,13716.89,66.89,1601.7,0.3804,0.8230,348.2719,492.4336,spring-reactor-perf-7697f96cbc-fnbht,99
spring-reactor,2,2000,0.07,10349.15,12446.09,66.33,1630.8,0.3280,0.6168,319.5406,488.7461,spring-reactor-perf-7697f96cbc-nqd6x,99
spring-reactor,3,2000,0.07,10932.23,14196.32,66.67,1629.5,0.1870,0.4506,220.3164,487.6094,spring-reactor-perf-7697f96cbc-nq8lm,99
